fabric,sum
beaded,0.9468740243419741
chambray,0.0
charmeuse,0.4472135954999579
chiffon,0.0
cotton,10.316321312187654
cotton blend,0.9282772836616442
denim,2.90292736601063
faux leather,0.0
jersey,1.5635654335187668
knit,11.902125251183179
lace,18.85782172272303
linen,2.8620346064628235
linen blend,0.3333333333333333
mesh,3.020108302846467
satin,0.6454454900345584
silk,7.080225594059561
silk blend,0.021354071087949105
spandex,0.0
synthetic,1.6197328944889517
tulle,0.8640622132638474
twill,0.48586451216968934
wool,5.2447785580597905
wool blend,0.06509445549041194
