sleeve style,sum
organza sleeve,0.0
shirred sleeve,0.0
trumpet sleeve,0.0
sheer sleeve,0.0
fluted sleeve,0.0
mesh sleeve,0.0
kimono sleeve,0.0
blouson sleeve,0.0
puff sleeve,3.7071067811865475
balloon sleeve,0.0
dolman sleeve,0.0
volume sleeve,0.0
split sleeve,0.0
batwing sleeve,0.0
tulle sleeve,0.0
frill sleeve,0.0
structured sleeve,0.0
tie sleeve,0.7071067811865475
lace sleeve,0.0
flutter sleeve,0.0
cap sleeve,0.0
draped sleeve,0.0
cape sleeve,0.0
raglan sleeve,0.0
angel sleeve,0.0
bishop sleeve,0.0
slit sleeve,0.0
open sleeve,0.0
bell sleeve,0.0
